Winter.treatment,Origin,Population,MotherID,Photo,Cocoon_number,Oviposition_date,Planned.opening.Date,Planned.opening.time,LT50.Temp,Opened.by,Actual.opening.date,Actual.opening.time,test_live,test_dead,test_total,test_ratio,control_live,control_dead,control_total,control_ratio,Notes,round,Mother_LegLength_um,MotherMeasuredBy,MotherLegLengthNotes
Estonia,Estonia,Paernu,E18-Paernu-84,n,1,08-08-18,08-04-19,0.375,-10,M. Sheffer,08-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,4323.82,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-85,n,1,08-08-18,08-04-19,0.625,-10,M. Sheffer,08-04-19,0.625,8,2,10,0.8,10,0,10,1,NA,post,5526.04,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-85,n,2,22-08-18,22-04-19,0.375,-26,M. Sheffer,22-04-19,0.379166667,6,4,10,0.6,10,0,10,1,NA,post,5526.04,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-86,n,1,18-08-18,18-04-19,0.625,-26,M. Sheffer,18-04-19,0.625,0,10,10,0,10,0,10,1,NA,post,6365.85,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-87,n,1,09-08-18,09-04-19,0.625,-18,L. Zander,09-04-19,0.625694444,10,0,10,1,10,0,10,1,NA,post,5936.35,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-87,n,2,23-08-18,23-04-19,0.625,-18,T. Moeller,23-04-19,0.625,8,2,10,0.8,10,0,10,1,NA,post,5936.35,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-89,n,1,09-08-18,09-04-19,0.375,-18,J. Balk,09-04-19,0.375,8,2,10,0.8,10,0,10,1,NA,post,8310.9,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-89,n,2,23-08-18,23-04-19,0.375,-18,T. Moeller,23-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,8310.9,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-9,n,1,16-08-18,16-04-19,0.375,-32,T. Moeller,16-04-19,0.395833333,1,9,10,0.1,10,0,10,1,NA,post,5138.51,M. Sheffer,left
France,Estonia,Paernu,E18-Paernu-91,n,1,05-08-18,04-04-19,0.375,-32,L. Zander,04-04-19,0.375,0,10,10,0,10,0,10,1,NA,post,6928.47,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-91,n,2,22-08-18,22-04-19,0.375,-32,L. Zander,22-04-19,0.385416667,0,10,10,0,10,0,10,1,NA,post,6928.47,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-92,n,1,14-08-18,14-04-19,0.375,-26,L. Zander,14-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,4529.52,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-93,n,1,14-08-18,14-04-19,0.625,-26,L. Zander,14-04-19,0.625,5,5,10,0.5,10,0,10,1,NA,post,5146.14,M. Sheffer,NA
