,picture,MotherID,light,dark,dark/light,black,white,red,green,blue,yellow,purple,turquoise
145,G18-EN-8.posterize.JPG,G18-EN-8,6899,6689,0.969560806,5489,6369,945,0,35938,530,255,4
146,G18-FO-1.posterize.JPG,G18-FO-1,43283,10172,0.235011436,6330,37936,3718,0,89040,5347,124,11
147,G18-FO-10.posterize.JPG,G18-FO-10,24154,11933,0.494038255,7630,21800,4092,0,69872,2354,211,9
148,G18-FO-11.posterize.JPG,G18-FO-11,52767,25623,0.485587583,11079,48898,14246,0,97029,3869,298,9
149,G18-FO-2.posterize.JPG,G18-FO-2,24652,9825,0.398547785,7767,23675,1809,0,45715,977,249,14
150,G18-FO-3.posterize.JPG,G18-FO-3,36373,10293,0.282984631,7012,30307,3131,0,67093,6066,150,1
151,G18-FO-4.posterize.JPG,G18-FO-4,23727,12387,0.522063472,10795,21161,1417,0,51967,2566,175,7
152,G18-FO-5.posterize.JPG,G18-FO-5,37870,5822,0.153736467,2382,32713,3285,0,76697,5157,155,11
153,G18-FO-6.posterize.JPG,G18-FO-6,58358,19349,0.331556942,6202,45775,12840,0,111079,12583,307,4
154,G18-FO-7.posterize.JPG,G18-FO-7,44267,18379,0.415185127,12870,37700,5107,0,63824,6567,402,14
155,G18-FO-8.posterize.JPG,G18-FO-8,74264,13337,0.179589034,5747,71828,7310,0,87503,2436,280,8
156,G18-FO-9.posterize.JPG,G18-FO-9,39695,17106,0.430935886,5714,37899,11078,0,79600,1796,314,15
157,G18-FP-1.posterize.JPG,G18-FP-1,41656,13022,0.312608028,6628,40578,5683,0,73650,1078,711,156
158,G18-FP-10.posterize.JPG,G18-FP-10,34824,10845,0.311423156,8941,32892,1701,0,64718,1932,203,102
159,G18-FP-11.posterize.JPG,G18-FP-11,25335,9717,0.383540557,7756,23704,1838,0,49609,1631,123,83
160,G18-FP-12.posterize.JPG,G18-FP-12,37636,7991,0.212323307,5285,36836,2342,0,60312,800,364,45
161,G18-FP-13.posterize.JPG,G18-FP-13,49962,11332,0.226812377,5919,47855,5085,0,80214,2107,328,68
162,G18-FP-14.posterize.JPG,G18-FP-14,19917,10508,0.527589496,7071,16981,3259,0,37537,2936,178,50
163,G18-FP-15.posterize.JPG,G18-FP-15,36589,6657,0.181939927,4621,33376,1962,0,68061,3213,74,53
164,G18-FP-16.posterize.JPG,G18-FP-16,17115,8023,0.468770085,7348,16661,591,0,58582,454,84,84
165,G18-FP-17.posterize.JPG,G18-FP-17,30689,10180,0.331714947,6669,30205,3304,0,80722,484,207,110
166,G18-FP-18.posterize.JPG,G18-FP-18,33143,16755,0.505536614,14780,31828,1743,0,70909,1315,232,83
167,G18-FP-19.posterize.JPG,G18-FP-19,38857,12594,0.324111486,10341,37661,2167,0,67205,1196,86,74
168,G18-FP-2.posterize.JPG,G18-FP-2,28956,14553,0.502590137,12944,27722,1532,0,66422,1234,77,124
169,G18-FP-20.posterize.JPG,G18-FP-20,38527,7215,0.187271264,5056,35869,2009,0,86264,2658,150,60
170,G18-FP-3.posterize.JPG,G18-FP-3,37841,18807,0.497000608,16846,37241,1374,0,77126,600,587,133
171,G18-FP-4.posterize.JPG,G18-FP-4,7359,3093,0.420301671,1897,7018,1116,0,27345,341,80,59
